Quad_Cat,Mean,SD,Variance,Minimum,Maximum,Number of Peaks,Number of Valleys,Ratio
3,13.08416482,3.952721178,15.62400471,6.423404654,18.06780735,6.11E-05,5.43E-05,4.15E-10
3,14.48900232,1.10154527,1.213401981,12.7569021,17.70890915,7.12E-05,6.40E-05,5.06E-10
1,5.858209891,0.070696065,0.004997934,5.728320667,5.988982497,3.30E-05,3.03E-05,9.08E-11
0,6.931957096,0.270985041,0.073432893,6.512423535,7.457818483,2.07E-05,2.07E-05,1.07E-10
0,7.381978013,0.193250901,0.037345911,7.167292931,8.018054556,4.80E-05,4.80E-05,3.29E-10
3,7.646410091,0.21281335,0.045289522,7.332049526,8.227331469,5.53E-05,5.07E-05,2.55E-10
1,6.804826793,0.222273533,0.049405523,6.470998463,7.487796222,2.76E-05,2.76E-05,7.59E-11
2,6.889442087,0.215161547,0.046294491,6.561304953,7.363595361,1.45E-05,1.45E-05,4.19E-11
2,7.699880725,0.484058868,0.234312987,6.989363092,9.002745003,3.78E-05,3.78E-05,1.10E-10
2,7.489720949,0.284993675,0.081221395,6.847693643,8.069858515,5.68E-05,5.24E-05,2.48E-10
0,7.566580618,0.257260243,0.066182833,7.155117552,8.35295018,3.69E-05,3.35E-05,1.24E-10
1,6.454389487,0.136512326,0.018635615,6.312431952,6.911911385,1.90E-05,1.59E-05,6.04E-11
3,7.610832248,0.288811433,0.083412044,7.121683219,8.321266599,4.07E-05,4.07E-05,2.77E-10
3,8.316735164,0.458575681,0.210291655,7.670587158,9.736683304,5.69E-05,5.69E-05,4.05E-10
1,11.65567009,1.30013872,1.690360691,9.992173912,14.83368635,3.03E-05,3.03E-05,8.32E-11
0,9.381556371,0.469165986,0.220116722,8.621164983,10.21834598,2.07E-05,2.07E-05,1.07E-10
0,11.14743279,0.662433241,0.438817799,10.12719358,12.71650847,2.74E-05,2.06E-05,1.88E-10
3,14.76194233,1.991135694,3.964621352,10.10153032,19.46057518,4.61E-05,4.61E-05,2.12E-10
1,10.73212074,1.487633544,2.213053562,8.845173881,16.33045563,1.93E-05,1.93E-05,5.32E-11
2,7.751945671,1.186165343,1.406988221,6.238652244,10.58033979,2.89E-06,2.89E-06,8.37E-12
2,7.893588259,1.28773783,1.658268719,6.270276571,11.06102533,2.91E-06,5.82E-06,8.47E-12
2,10.08628665,1.351015029,1.825241607,8.246570547,13.57276064,8.74E-06,8.74E-06,3.82E-11
0,12.95998505,1.317336919,1.735376557,10.75867757,18.52881285,5.03E-05,4.69E-05,1.69E-10
1,10.77786233,1.382035244,1.910021416,9.156821047,15.68084991,2.22E-05,1.90E-05,7.04E-11
3,11.82590993,2.230533593,4.97528011,9.276134009,17.22814556,4.07E-05,4.07E-05,2.77E-10
3,10.1518206,0.58628865,0.343734382,9.285077389,11.53901086,2.85E-05,2.85E-05,2.03E-10
1,7.863638758,0.758588785,0.575456945,7.071338216,10.9834808,4.40E-05,4.40E-05,1.21E-10
0,8.002406022,0.157984127,0.024958984,7.776337688,8.39536491,4.15E-05,4.67E-05,2.15E-10
0,8.994771182,0.549936025,0.302429632,7.764591492,10.13411683,6.85E-05,6.17E-05,4.69E-10
3,14.64834599,0.896118895,0.803029073,12.789142,16.72973399,5.99E-05,5.99E-05,2.76E-10
1,8.326765902,0.790921719,0.625557165,7.570972752,11.2760196,4.41E-05,4.41E-05,1.21E-10
2,10.61156806,0.507756253,0.257816413,9.746688227,11.97397465,4.05E-05,4.34E-05,1.17E-10
2,11.72677932,0.910511161,0.829030575,10.68406729,14.62779395,4.95E-05,4.95E-05,1.44E-10
2,9.294369149,0.31225194,0.097501274,8.862555215,10.05994564,3.93E-05,3.93E-05,1.72E-10
0,8.811463258,0.682010574,0.465138422,7.477679356,10.29992503,5.70E-05,5.70E-05,1.91E-10
1,7.518692099,0.359358572,0.129138583,6.972205028,8.284986002,2.54E-05,2.22E-05,8.05E-11
3,17.78068361,0.827352894,0.684512812,15.91807693,19.99355829,6.79E-05,6.11E-05,4.61E-10
3,15.82966286,0.931924359,0.86848301,14.3659696,17.60900431,5.69E-05,4.98E-05,4.05E-10
1,11.12906311,0.257756909,0.066438624,10.71099933,11.63965815,8.25E-06,8.25E-06,2.27E-11
0,13.39523706,0.719141767,0.517164881,12.9389315,15.83592133,3.63E-05,3.63E-05,1.88E-10
0,11.58484127,0.12532638,0.015706701,11.40299557,11.89117769,2.06E-05,2.06E-05,1.41E-10
3,15.77657975,1.904727994,3.627988733,11.95015956,18.29040603,4.15E-05,4.15E-05,1.91E-10
1,11.34528283,0.309472449,0.095773197,10.93541992,12.57882519,2.48E-05,2.48E-05,6.83E-11
2,13.19476391,0.322736404,0.104158786,12.87146571,14.32944896,3.47E-05,3.47E-05,1.00E-10
2,14.14611422,0.907490971,0.823539863,12.93298539,15.95791553,3.20E-05,3.20E-05,9.31E-11
2,14.41029066,0.433929104,0.188294468,13.86788875,15.88192932,3.06E-05,2.62E-05,1.34E-10
0,18.15766021,2.428589249,5.898045741,12.77398995,22.0067532,3.35E-05,3.35E-05,1.12E-10
1,11.42153905,0.453921129,0.206044391,10.802553,12.38156673,3.17E-05,3.49E-05,1.01E-10
3,11.81590514,0.314502712,0.098911956,11.4674208,12.69183454,3.40E-05,4.07E-05,2.31E-10
3,11.54638308,0.181757402,0.033035753,11.30987642,11.99231015,0,0,0
